timestamp,name,session,label,phase,repetition,fatigue,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08
2026-09-15 22:06:51.010609,vivienne,1,flexion,moving,1,1,2,3,5,7,-4,-6,-6,0
2026-09-15 22:06:51.011269,vivienne,1,flexion,moving,1,1,-9,-12,9,-13,-5,4,2,3
2026-09-15 22:06:51.018346,vivienne,1,flexion,moving,1,1,-6,-5,4,-9,0,1,3,-1
2026-09-15 22:06:51.018901,vivienne,1,flexion,moving,1,1,2,10,-2,8,5,-10,-5,-2
2026-09-15 22:06:51.033256,vivienne,1,flexion,moving,1,1,-2,2,0,0,4,-7,-3,-1
2026-09-15 22:06:51.033872,vivienne,1,flexion,moving,1,1,-6,-9,1,-10,-5,9,0,1
2026-09-15 22:06:51.041410,vivienne,1,flexion,moving,1,1,-1,-9,-4,-8,-3,1,1,1
2026-09-15 22:06:51.042255,vivienne,1,flexion,moving,1,1,3,10,0,12,-1,-7,-3,5
2026-09-15 22:06:51.048267,vivienne,1,flexion,moving,1,1,1,1,0,7,3,-4,-1,0
2026-09-15 22:06:51.048909,vivienne,1,flexion,moving,1,1,-7,-11,-11,-19,-11,1,2,2
2026-09-15 22:06:51.063893,vivienne,1,flexion,moving,1,1,-5,-10,-4,-7,-6,-2,-9,-6
2026-09-15 22:06:51.064391,vivienne,1,flexion,moving,1,1,6,1,3,13,4,-12,-5,0
2026-09-15 22:06:51.070602,vivienne,1,flexion,moving,1,1,3,4,1,-4,-1,-2,0,1
2026-09-15 22:06:51.071447,vivienne,1,flexion,moving,1,1,-5,-9,-5,-5,-2,7,2,2
2026-09-15 22:06:51.077955,vivienne,1,flexion,moving,1,1,-4,-7,-4,-4,-5,-1,-2,-2
2026-09-15 22:06:51.078339,vivienne,1,flexion,moving,1,1,8,6,-7,11,9,-6,-1,1
2026-09-15 22:06:51.093145,vivienne,1,flexion,moving,1,1,5,3,4,6,7,0,-3,-1
2026-09-15 22:06:51.093739,vivienne,1,flexion,moving,1,1,-8,-13,-9,-22,-8,2,1,-5
2026-09-15 22:06:51.101621,vivienne,1,flexion,moving,1,1,-2,-3,-5,-7,-4,-4,-1,2
2026-09-15 22:06:51.102307,vivienne,1,flexion,moving,1,1,5,11,-2,6,1,-6,-3,-2
2026-09-15 22:06:51.108305,vivienne,1,flexion,moving,1,1,3,-1,2,1,5,4,-1,-1
2026-09-15 22:06:51.108946,vivienne,1,flexion,moving,1,1,-4,-12,-9,-11,-6,1,4,0
2026-09-15 22:06:51.123986,vivienne,1,flexion,moving,1,1,-4,-4,-1,-2,3,1,1,4
2026-09-15 22:06:51.124645,vivienne,1,flexion,moving,1,1,3,11,2,15,7,-8,-4,4
2026-09-15 22:06:51.130787,vivienne,1,flexion,moving,1,1,4,-3,2,2,9,4,-4,1
2026-09-15 22:06:51.131407,vivienne,1,flexion,moving,1,1,-10,-12,-2,-12,-11,2,3,-2
2026-09-15 22:06:51.138150,vivienne,1,flexion,moving,1,1,-1,5,-3,-2,1,-2,4,-2
2026-09-15 22:06:51.138747,vivienne,1,flexion,moving,1,1,6,4,6,7,5,-9,-1,4
2026-09-15 22:06:51.153122,vivienne,1,flexion,moving,1,1,-1,3,-6,-5,0,-4,1,1
2026-09-15 22:06:51.153693,vivienne,1,flexion,moving,1,1,-5,-9,0,-11,-10,4,2,0
2026-09-15 22:06:51.161547,vivienne,1,flexion,moving,1,1,-3,-1,-8,-8,-6,2,2,-3
2026-09-15 22:06:51.162094,vivienne,1,flexion,moving,1,1,2,8,-3,11,5,-8,-3,0
2026-09-15 22:06:51.168034,vivienne,1,flexion,moving,1,1,-2,-1,-2,6,-2,-3,-3,-1
2026-09-15 22:06:51.168419,vivienne,1,flexion,moving,1,1,-9,-13,-16,-16,-6,5,0,4
2026-09-15 22:06:51.184005,vivienne,1,flexion,moving,1,1,-2,2,11,2,-2,0,-1,-4
2026-09-15 22:06:51.184767,vivienne,1,flexion,moving,1,1,4,6,-5,7,-2,-6,-8,1
2026-09-15 22:06:51.190760,vivienne,1,flexion,moving,1,1,1,-3,-11,1,1,-4,-2,-3
2026-09-15 22:06:51.191356,vivienne,1,flexion,moving,1,1,-8,-15,-14,-13,-3,3,1,0
2026-09-15 22:06:51.198127,vivienne,1,flexion,moving,1,1,-1,-1,2,-6,-3,-5,-3,-1
